Brain,ROI,Green,Red,Green_Red_Ratio,Reporter,Driver,Marker,Condition,InjuryType
Draper_Dee7_paraquat_48h_1week_f6,AL_right,0.6663106083869934,0.7141050696372986,0.9330708276940528,unknown,unknown,draper,unknown,unknown
Draper_Dee7_paraquat_48h_1week_f6,CX,0.9920905232429504,0.8533509969711304,1.1625820169710468,unknown,unknown,draper,unknown,unknown
Draper_Dee7_paraquat_48h_1week_f6,MB_left,0.6638385653495789,0.7143187522888184,0.9293310069524412,unknown,unknown,draper,unknown,unknown
Draper_Dee7_paraquat_48h_1week_f6,MB_right,0.6662495732307434,0.8547025918960571,0.7795104163107159,unknown,unknown,draper,unknown,unknown
Draper_Dee7_paraquat_48h_1week_f6,PI,0.998270571231842,0.5705559849739075,1.7496452539666107,unknown,unknown,draper,unknown,unknown
Draper_Dee7_paraquat_48h_1week_f6,SEG,1.0,0.8562285304069519,1.167912495890222,unknown,unknown,draper,unknown,unknown
UasMitoTimer_RepoGal4_1week_moderate_5days_f1,AL_left,0.0,0.0,,uasmitotimer,unknown,unknown,moderate,unknown
UasMitoTimer_RepoGal4_1week_moderate_5days_f1,AL_right,0.0,0.0,,uasmitotimer,unknown,unknown,moderate,unknown
UasMitoTimer_RepoGal4_1week_moderate_5days_f1,CX,0.0,0.0,,uasmitotimer,unknown,unknown,moderate,unknown
UasMitoTimer_RepoGal4_1week_moderate_5days_f1,MB_left,0.0,0.0,,uasmitotimer,unknown,unknown,moderate,unknown
UasMitoTimer_RepoGal4_1week_moderate_5days_f1,MB_right,0.0,0.0,,uasmitotimer,unknown,unknown,moderate,unknown
UasMitoTimer_RepoGal4_1week_moderate_5days_f1,PI,0.0,0.0,,uasmitotimer,unknown,unknown,moderate,unknown
UasMitoTimer_RepoGal4_1week_moderate_5days_f1,SEG,0.0,0.0,,uasmitotimer,unknown,unknown,moderate,unknown
UasMitoTimer_RepoGal4_1week_moderate_5days_f6,AL_left,0.0,0.0,,uasmitotimer,unknown,unknown,moderate,unknown
UasMitoTimer_RepoGal4_1week_moderate_5days_f6,AL_right,0.0,0.0,,uasmitotimer,unknown,unknown,moderate,unknown
UasMitoTimer_RepoGal4_1week_moderate_5days_f6,CX,0.0,0.0,,uasmitotimer,unknown,unknown,moderate,unknown
UasMitoTimer_RepoGal4_1week_moderate_5days_f6,MB_left,0.0,0.0,,uasmitotimer,unknown,unknown,moderate,unknown
UasMitoTimer_RepoGal4_1week_moderate_5days_f6,MB_right,0.0,0.0,,uasmitotimer,unknown,unknown,moderate,unknown
UasMitoTimer_RepoGal4_1week_moderate_5days_f6,PI,0.0,0.0,,uasmitotimer,unknown,unknown,moderate,unknown
UasMitoTimer_RepoGal4_1week_moderate_5days_f6,SEG,0.0,0.0,,uasmitotimer,unknown,unknown,moderate,unknown
Stat92E_GFP_24hour_moderate_single_m3,AL_left,0.7137312889099121,0.6108633279800415,1.1683976696882867,unknown,unknown,unknown,moderate,single
Stat92E_GFP_24hour_moderate_single_m3,AL_right,0.8571316599845886,0.6106055378913879,1.4037403966962576,unknown,unknown,unknown,moderate,single
Stat92E_GFP_24hour_moderate_single_m3,CX,0.8562943935394287,0.8883989453315735,0.9638624607099656,unknown,unknown,unknown,moderate,single
Stat92E_GFP_24hour_moderate_single_m3,MB_left,0.7131120562553406,0.6487720012664795,1.0991720586943667,unknown,unknown,unknown,moderate,single
Stat92E_GFP_24hour_moderate_single_m3,MB_right,0.8478431701660156,0.885922908782959,0.9570168710624544,unknown,unknown,unknown,moderate,single
Stat92E_GFP_24hour_moderate_single_m3,PI,0.8556925654411316,0.6391544938087463,1.3387883113236465,unknown,unknown,unknown,moderate,single
Stat92E_GFP_24hour_moderate_single_m3,SEG,0.8533115983009338,0.6653919219970703,1.2824195336484576,unknown,unknown,unknown,moderate,single
Stat92E_GFP_1week_moderate_double_f5,AL_left,0.5571227073669434,0.8752841353416443,0.6365049757807903,unknown,unknown,unknown,moderate,double
Stat92E_GFP_1week_moderate_double_f5,AL_right,1.0,1.0,1.0,unknown,unknown,unknown,moderate,double
Stat92E_GFP_1week_moderate_double_f5,CX,1.0,1.0,1.0,unknown,unknown,unknown,moderate,double
Stat92E_GFP_1week_moderate_double_f5,MB_left,1.0,0.3906858563423157,2.559601233999647,unknown,unknown,unknown,moderate,double
Stat92E_GFP_1week_moderate_double_f5,MB_right,1.0,0.3905274868011474,2.5606392220714276,unknown,unknown,unknown,moderate,double
Stat92E_GFP_1week_moderate_double_f5,PI,1.0,1.0,1.0,unknown,unknown,unknown,moderate,double
Stat92E_GFP_1week_moderate_double_f5,SEG,0.0568638183176517,0.0309352129697799,1.8381582946657244,unknown,unknown,unknown,moderate,double
Stat92E_GFP_24hour_moderate_single_m4,AL_left,0.7493360042572021,0.7872307896614075,0.9518631817989436,unknown,unknown,unknown,moderate,single
Stat92E_GFP_24hour_moderate_single_m4,AL_right,0.8749198317527771,0.6831015944480896,1.2808048449362304,unknown,unknown,unknown,moderate,single
Stat92E_GFP_24hour_moderate_single_m4,CX,0.8745000958442688,0.7882652878761292,1.1093982055209957,unknown,unknown,unknown,moderate,single
Stat92E_GFP_24hour_moderate_single_m4,MB_left,0.7460998296737671,0.7890042662620544,0.9456220474047,unknown,unknown,unknown,moderate,single
Stat92E_GFP_24hour_moderate_single_m4,MB_right,0.8712334036827087,0.6829666495323181,1.2756602453125814,unknown,unknown,unknown,moderate,single
Stat92E_GFP_24hour_moderate_single_m4,PI,0.7483132481575012,0.7806893587112427,0.9585288179062824,unknown,unknown,unknown,moderate,single
Stat92E_GFP_24hour_moderate_single_m4,SEG,0.8747061491012573,0.7883359789848328,1.10956010180792,unknown,unknown,unknown,moderate,single
Stat92E_GFP_1week_moderate_double_f2,AL_left,0.2358426451683044,0.0579883381724357,4.067070252418617,unknown,unknown,unknown,moderate,double
Stat92E_GFP_1week_moderate_double_f2,AL_right,0.235779121518135,0.0433486253023147,5.439137224624855,unknown,unknown,unknown,moderate,double
Stat92E_GFP_1week_moderate_double_f2,CX,0.2361217588186264,0.0868689343333244,2.718138085044356,unknown,unknown,unknown,moderate,double
Stat92E_GFP_1week_moderate_double_f2,MB_left,0.2354672998189926,0.0868512392044067,2.711156478318219,unknown,unknown,unknown,moderate,double
Stat92E_GFP_1week_moderate_double_f2,MB_right,0.2344240248203277,0.0771183744072914,3.0397946873496773,unknown,unknown,unknown,moderate,double
Stat92E_GFP_1week_moderate_double_f2,PI,0.2360736280679702,0.0866376608610153,2.724838433099909,unknown,unknown,unknown,moderate,double
Stat92E_GFP_1week_moderate_double_f2,SEG,0.0471496656537056,0.0096573485061526,4.8822578602881395,unknown,unknown,unknown,moderate,double
Stat92E_GFP_1week_paraquat_single_f1 (1),AL_left,0.0884798914194107,0.0379338152706623,2.332480684795244,unknown,unknown,unknown,unknown,single
Stat92E_GFP_1week_paraquat_single_f1 (1),AL_right,0.0687214136123657,0.0332798063755035,2.064958336504923,unknown,unknown,unknown,unknown,single
Stat92E_GFP_1week_paraquat_single_f1 (1),CX,0.3979775011539459,0.3199186623096466,1.2439958903327335,unknown,unknown,unknown,unknown,single
Stat92E_GFP_1week_paraquat_single_f1 (1),MB_left,0.3980338275432586,0.3198819160461426,1.244314878637412,unknown,unknown,unknown,unknown,single
Stat92E_GFP_1week_paraquat_single_f1 (1),MB_right,1.0,1.0,1.0,unknown,unknown,unknown,unknown,single
Stat92E_GFP_1week_paraquat_single_f1 (1),PI,0.4317762553691864,0.3227204978466034,1.337926342610006,unknown,unknown,unknown,unknown,single
Stat92E_GFP_1week_paraquat_single_f1 (1),SEG,0.042549580335617,0.0286319199949502,1.4860889644537068,unknown,unknown,unknown,unknown,single
Stat92E_GFP_1week_paraquat_48hours_m2,AL_left,0.8212998509407043,0.9982731342315674,0.8227205789454703,unknown,unknown,unknown,unknown,unknown
Stat92E_GFP_1week_paraquat_48hours_m2,AL_right,0.9261330962181092,0.9971219301223756,0.9288062655531466,unknown,unknown,unknown,unknown,unknown
Stat92E_GFP_1week_paraquat_48hours_m2,CX,0.9967687129974364,0.6425403952598572,1.5512934600700423,unknown,unknown,unknown,unknown,unknown
Stat92E_GFP_1week_paraquat_48hours_m2,MB_left,0.9953254461288452,0.6409966945648193,1.5527778139395618,unknown,unknown,unknown,unknown,unknown
Stat92E_GFP_1week_paraquat_48hours_m2,MB_right,0.9233829379081726,0.640708863735199,1.4411895794995604,unknown,unknown,unknown,unknown,unknown
Stat92E_GFP_1week_paraquat_48hours_m2,PI,1.0,0.6423485279083252,1.5567872526403892,unknown,unknown,unknown,unknown,unknown
Stat92E_GFP_1week_paraquat_48hours_m2,SEG,0.9398839473724364,0.6876299977302551,1.3668454699108925,unknown,unknown,unknown,unknown,unknown
Stat92E_GFP_1week_paraquat_48hours_m5,AL_left,0.61152184009552,0.9076249599456788,0.6737604925850866,unknown,unknown,unknown,unknown,unknown
